arm,target,split_seed,criterion,layer,probe,hg_kind,r2,within_r2,concordance,top1,regret_norm_mean,kendall_tau,val_score,n_params,date,phase,output_path
MDLM_anc,A_pertok,0,within_r2,3,P2k_additive_wc_d16,hg,,0.5610754116643366,0.7866666666666666,0.43,0.1539733401765877,0.5733333333333334,0.5525206482268598,133,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2k_kron_d32,hg,0.5220883430101537,0.5645238893438165,0.7792222222222223,0.41833333333333333,0.15911207012305378,0.5584444444444443,0.5564648852828953,1189,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2k_kroneOnly_d32,hg,0.5169686449359854,0.5630376925380873,0.7792222222222223,0.415,0.1582038316960327,0.5584444444444443,0.5552107920759559,1125,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2k_additive_d32,hg,0.5477123064088972,0.5769920665953969,0.787,0.44,0.14762675634866254,0.574,0.570234512371709,165,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2k_kron_wc_d32,hg,,0.5566316176565962,0.7838888888888889,0.415,0.1622963090843124,0.5677777777777778,0.5489267334455475,1189,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P2k_additive_wc_d32,hg,,0.5616489004583516,0.7863333333333333,0.4266666666666667,0.15607690422471157,0.5726666666666667,0.5545236334778212,165,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P3_film,hg,0.3467892779735853,0.4739495570402894,0.7563333333333333,0.4116666666666667,0.17254352263240388,0.5126666666666666,0.4798323933164971,25255,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P4_relmlp_w128,hg,0.3822772279140846,0.4578745023382864,0.751,0.37333333333333335,0.1849398660874618,0.502,0.4823236151421535,94977,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P4_relmlp_w512,hg,0.37689534916247036,0.475401027511274,0.7526666666666667,0.39,0.17742786804294317,0.5053333333333333,0.4925214238966258,379905,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
MDLM_anc,A_pertok,0,within_r2,3,P4_cheaponly_mlp,hg,0.5160207928036877,0.5666886317465598,0.7768888888888889,0.42333333333333334,0.1556488050974627,0.5537777777777777,0.5620894942870345,52225,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L3.json
