
Fetching 6 files:   0%|          | 0/6 [00:00<?, ?it/s]
Fetching 6 files: 100%|██████████| 6/6 [00:00<00:00, 113872.51it/s]

[0A] prompts=200 K=16 n_cand=6 record_fracs=(0.1, 0.2, 0.3, 0.4, 0.5, 0.6) horizon=8
  prompts 6/200  examples 216  54s  eta 1750s
  prompts 12/200  examples 432  108s  eta 1693s
  prompts 18/200  examples 648  162s  eta 1639s
  prompts 24/200  examples 864  216s  eta 1585s
  prompts 30/200  examples 1080  270s  eta 1531s
  prompts 36/200  examples 1296  324s  eta 1478s
  prompts 42/200  examples 1512  379s  eta 1426s
  prompts 48/200  examples 1728  434s  eta 1373s
  prompts 54/200  examples 1944  488s  eta 1320s
  prompts 60/200  examples 2160  543s  eta 1266s
  prompts 66/200  examples 2376  599s  eta 1217s
  prompts 72/200  examples 2592  654s  eta 1162s
  prompts 78/200  examples 2808  708s  eta 1108s
  prompts 84/200  examples 3024  763s  eta 1054s
  prompts 90/200  examples 3240  818s  eta 999s
  prompts 96/200  examples 3456  872s  eta 945s
  prompts 102/200  examples 3672  927s  eta 890s
  prompts 108/200  examples 3888  981s  eta 836s
  prompts 114/200  examples 4104  1036s  eta 781s
  prompts 120/200  examples 4320  1090s  eta 727s
  prompts 126/200  examples 4536  1149s  eta 675s
  prompts 132/200  examples 4752  1204s  eta 620s
  prompts 138/200  examples 4968  1258s  eta 565s
  prompts 144/200  examples 5184  1313s  eta 510s
  prompts 150/200  examples 5400  1367s  eta 456s
  prompts 156/200  examples 5616  1422s  eta 401s
  prompts 162/200  examples 5832  1476s  eta 346s
  prompts 168/200  examples 6048  1531s  eta 292s
  prompts 174/200  examples 6264  1585s  eta 237s
  prompts 180/200  examples 6480  1640s  eta 182s
  prompts 186/200  examples 6696  1697s  eta 128s
  prompts 192/200  examples 6912  1751s  eta 73s
  prompts 198/200  examples 7128  1806s  eta 18s
  prompts 200/200  examples 7200  1826s  eta 0s
[0A] done: 7200 examples in 1826s -> /home/xqin5/diffusion_LLM/d1_lookahead/data/labels_h8b

